strain	serotype	genotype	date	region	country	division	locate	host	passage	specimen	additional host information	sequencing technology	assembly method	comment	comment type
EPI_ISL_17804531	DENV2	III-Asian-American	2018-12-06	North America	Nicaragua			Human	Original	Other: Blood		Illumina	CLC Genomics Workbench v. 7.0.3	Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17804532	DENV2	III-Asian-American	2018-11-08	North America	Nicaragua	Managua		Human	Original	Other: Blood		Illumina	CLC Genomics Workbench v. 7.0.3	Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17804533	DENV2	III-Asian-American	2018-12-04	North America	Nicaragua			Human	Original	Other: Blood		Illumina	CLC Genomics Workbench v. 7.0.3	Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17804534	DENV2	III-Asian-American	2018-11-22	North America	Nicaragua	Managua		Human	Original	Other: Blood		Illumina	CLC Genomics Workbench v. 7.0.3	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17831897	DENV2	II-Cosmopolitan	2023-05-06	Asia	China	Guangdong		Human	Original	Serum		Illumina	Minimap2 v. 2.26		
EPI_ISL_17831898	DENV2	II-Cosmopolitan	2023-05-09	Asia	China	Guangdong		Human	Original	Serum	Traveller from Indonesia	Illumina	Minimap2 v. 2.26		
EPI_ISL_17959703	DENV2	III-Asian-American	2021-02-01	South America	Ecuador	Esmeraldas	Santa Maria	Human	Original			Nanopore MinION			
EPI_ISL_17959704	DENV2	III-Asian-American	2021-05-19	South America	Ecuador	Esmeraldas	Maldonado	Human	Original			Nanopore MinION			
EPI_ISL_17959705	DENV2	III-Asian-American	2021-06-23	South America	Ecuador	Esmeraldas	Timibire	Human	Original			Nanopore MinION			
EPI_ISL_17959706	DENV2	III-Asian-American	2021-06-15	South America	Ecuador	Esmeraldas	Colon Eloy	Human	Original			Nanopore MinION			
EPI_ISL_17959707	DENV2	III-Asian-American	2021-01-29	South America	Ecuador	Esmeraldas	Borbon	Human	Original			Nanopore MinION			
EPI_ISL_17959708	DENV2	III-Asian-American	2021-03-06	South America	Ecuador	Esmeraldas	Borbon	Human	Original			Nanopore MinION			
EPI_ISL_17959709	DENV2	III-Asian-American	2021-01-25	South America	Ecuador	Esmeraldas	Santa Maria	Human	Original			Nanopore MinION			
EPI_ISL_17959710	DENV2	III-Asian-American	2021-04-25	South America	Ecuador	Esmeraldas	Esmeraldas	Human	Original			Nanopore MinION			
EPI_ISL_17959714	DENV2	III-Asian-American	2021-05-04	South America	Ecuador	Esmeraldas	Colon Eloy	Human	Original			Nanopore MinION		Stretches of NNNs (6.14%% of overall sequence).	warn
EPI_ISL_17959720	DENV2	III-Asian-American	2020-12-16	South America	Ecuador	Esmeraldas	Santa Maria	Human	Original			Nanopore MinION		Stretches of NNNs (8.57%% of overall sequence).	warn
EPI_ISL_17959723	DENV2	III-Asian-American	2021-04-22	South America	Ecuador	Esmeraldas	Colon Eloy	Human	Original			Nanopore MinION			
EPI_ISL_17959724	DENV2	III-Asian-American	2021-06-01	South America	Ecuador	Esmeraldas	Colon Eloy	Human	Original			Nanopore MinION			
EPI_ISL_17977444	DENV2	III-Asian-American	2021-11-11	South America	Colombia	Cordoba	Cerete	Human	Original	Serum		Nanopore MinIon	Minimap2 v. 2.24	Gap of 115 nucleotides when compared to the reference sequence.	warn
EPI_ISL_17983067	DENV2	II-Cosmopolitan	2023-03-14	South America	Brazil	Tocantins	Palmas	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983070	DENV2	II-Cosmopolitan	2023-04-17	South America	Brazil	Sergipe	Sao Cristovao	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983071	DENV2	II-Cosmopolitan	2023-04-11	South America	Brazil	Sergipe	Lagarto	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983082	DENV2	II-Cosmopolitan	2023-04-17	South America	Brazil	Sao Paulo	Peruibe	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983083	DENV2	II-Cosmopolitan	2023-05-01	South America	Brazil	Sao Paulo	Mairipora	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983084	DENV2	II-Cosmopolitan	2023-05-03	South America	Brazil	Sao Paulo	Jandira	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983085	DENV2	II-Cosmopolitan	2023-05-08	South America	Brazil	Sao Paulo	Mairipora	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983086	DENV2	II-Cosmopolitan	2023-05-02	South America	Brazil	Sao Paulo	Sao Paulo	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983087	DENV2	II-Cosmopolitan	2023-05-15	South America	Brazil	Sao Paulo	Sao Paulo	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983088	DENV2	II-Cosmopolitan	2023-06-05	South America	Brazil	Sergipe	Aracaju	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983089	DENV2	II-Cosmopolitan	2023-05-02	South America	Brazil	Sergipe	Sao Cristovao	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_17983090	DENV2	III-Asian-American	2023-05-02	South America	Brazil	Sergipe	Indiaroba	Human	Original	Serum		Illumina MiSeq	Genious 2023.0.4 5xMLS	NS5_S631stop results in 30.0% truncation of the protein sequence.	info
EPI_ISL_18081081	DENV2	III-Asian-American	2001-01-01	North America	Mexico			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081085	DENV2	II-Cosmopolitan	2009-01-01	Asia	Malaysia			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081089	DENV2	III-Asian-American	1991-01-01	South America	Venezuela			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081101	DENV2	IV-AsianII	1990-01-01	South America	Venezuela			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081102	DENV2	III-Asian-American	1990-01-01	South America	Venezuela			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081104	DENV2	IV-AsianII	1994-01-01	Asia	Saudi Arabia			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081111	DENV2	III-Asian-American	1990-01-01	South America	Brazil			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081117	DENV2	V-AsianI	2009-01-01	Asia	Cambodia			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081122	DENV2	IV-AsianII	1988-01-01	Asia	Philippines			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081123	DENV2	III-Asian-American	2000-01-01	South America	Brazil			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081143	DENV2	I-American	1987-01-01	South America	Venezuela			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081145	DENV2	V-AsianI	1976-01-01	Asia	Myanmar			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081148	DENV2	III-Asian-American	1990-01-01	South America	Brazil			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081150	DENV2	III-Asian-American	1990-01-01	South America	Venezuela			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081155	DENV2	III-Asian-American	1990-01-01	South America	Venezuela			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081160	DENV2	IV-AsianII	2004-01-01	Asia	Sri Lanka			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081168	DENV2	II-Cosmopolitan	1982-01-01	Africa	Burkina Faso			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081177	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081184	DENV2	II-Cosmopolitan	1993-01-01	Africa	Somalia			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18081191	DENV2	IV-AsianII	1994-01-01	Asia	Saudi Arabia			Human	Original			Illumina	iVar v. 1.4.2		
EPI_ISL_18099465	DENV2	II-Cosmopolitan	2023-03-22	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (9.22%% of overall sequence).	warn
EPI_ISL_18099513	DENV2	III-Asian-American	2023-03-28	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (7.70%% of overall sequence).	warn
EPI_ISL_18099519	DENV2	III-Asian-American	2023-04-29	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (9.90%% of overall sequence).	warn
EPI_ISL_18099520	DENV2	III-Asian-American	2023-04-30	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (10.47%% of overall sequence). Partial NS5 gene sequence is reported.	warn
EPI_ISL_18099525	DENV2	II-Cosmopolitan	2023-05-08	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (9.47%% of overall sequence).	warn
EPI_ISL_18099528	DENV2	III-Asian-American	2023-05-09	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (7.43%% of overall sequence).	warn
EPI_ISL_18099539	DENV2	II-Cosmopolitan	2023-06-03	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (9.63%% of overall sequence).	warn
EPI_ISL_18099542	DENV2	III-Asian-American	2023-06-13	South America	Brazil	Bahia		Human	Original	Serum		Illumina	Geneious	Stretches of NNNs (8.37%% of overall sequence). NS2A without BLAST coverage.	warn
EPI_ISL_18103420	DENV2	III-Asian-American	2022-05-02	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103421	DENV2	III-Asian-American	2022-04-27	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103425	DENV2	III-Asian-American	2022-04-18	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103429	DENV2	III-Asian-American	2022-03-29	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103430	DENV2	III-Asian-American	2022-05-29	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103431	DENV2	III-Asian-American	2022-03-27	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103432	DENV2	III-Asian-American	2022-05-05	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103434	DENV2	III-Asian-American	2022-04-22	South America	Paraguay	Caaguazu		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103436	DENV2	III-Asian-American	2021-03-24	South America	Paraguay	Presidente Franco		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103443	DENV2	III-Asian-American	2022-03-22	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103459	DENV2	III-Asian-American	2022-06-24	South America	Paraguay	Repatriacion		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103461	DENV2	III-Asian-American	2022-03-28	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103464	DENV2	III-Asian-American	2019-05-08	South America	Brazil	Bahia		Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 2.39		
EPI_ISL_18103468	DENV2	III-Asian-American	2021-07-10	South America	Paraguay	Mariano Roque Alonso		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103471	DENV2	III-Asian-American	2022-05-06	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103474	DENV2	III-Asian-American	2022-04-17	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103476	DENV2	III-Asian-American	2019-05-08	South America	Brazil	Bahia		Human	Original	Serum		Oxford Nanopore MinION	GenomeDetective v. 2.39		
EPI_ISL_18103479	DENV2	III-Asian-American	2022-04-07	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103487	DENV2	III-Asian-American	2021-07-02	South America	Paraguay	Villarrica		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103488	DENV2	III-Asian-American	2022-05-04	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103489	DENV2	III-Asian-American	2021-04-14	South America	Paraguay	Encarnacion		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103492	DENV2	III-Asian-American	2022-04-27	South America	Paraguay	Capiata		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103493	DENV2	III-Asian-American	2022-05-09	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103500	DENV2	III-Asian-American	2022-04-05	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103501	DENV2	III-Asian-American	2022-05-22	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103508	DENV2	III-Asian-American	2022-02-23	South America	Paraguay	Benjamin Aceval		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103514	DENV2	III-Asian-American	2022-05-08	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103515	DENV2	III-Asian-American	2022-04-11	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18103529	DENV2	III-Asian-American	2022-04-28	South America	Paraguay	Coronel Oviedo		Human	Original	Serum		Oxford Nanopore Technologies	GenomeDetective v. 2.43		
EPI_ISL_18219975	DENV2	II-Cosmopolitan	2023-05-03	South America	Brazil	Espirito Santo	Rio Bananal	Human	Original			Illumina MiSeq	Genome Detective Virus Tool v. 2.64		
EPI_ISL_18219976	DENV2	II-Cosmopolitan	2023-04-25	South America	Brazil	Espirito Santo	Rio Bananal	Human	Original			Illumina MiSeq	Genome Detective Virus Tool v. 2.64		
EPI_ISL_18219977	DENV2	II-Cosmopolitan	2023-05-08	South America	Brazil	Espirito Santo	Rio Bananal	Human	Original			Illumina MiSeq	Genome Detective Virus Tool v. 2.64		
EPI_ISL_18219978	DENV2	II-Cosmopolitan	2023-05-02	South America	Brazil	Espirito Santo	Sooretama	Human	Original			Illumina MiSeq	Genome Detective Virus Tool v. 2.64		
EPI_ISL_18219979	DENV2	II-Cosmopolitan	2023-05-08	South America	Brazil	Espirito Santo	Rio Bananal	Human	Original			Illumina MiSeq	Genome Detective Virus Tool v. 2.64		
EPI_ISL_18219980	DENV2	II-Cosmopolitan	2023-04-26	South America	Brazil	Espirito Santo	Rio Bananal	Human	Original			Illumina MiSeq	Genome Detective Virus Tool v. 2.64		
EPI_ISL_18240652	DENV2	III-Asian-American	2021-06-01	South America	Brazil	Tocantins	Araguaina	Human	Original	Serum		Oxford Nanopore Technologies	Genome Detective v. 2.37		
EPI_ISL_18240653	DENV2	III-Asian-American	2021-12-22	South America	Brazil	Tocantins	Bandeirantes do Tocantins	Human	Original	Serum		Oxford Nanopore Technologies	Genome Detective v. 2.37		
EPI_ISL_18240654	DENV2	III-Asian-American	2021-12-08	South America	Brazil	Tocantins	Colinas do Tocantins	Human	Original	Serum		Oxford Nanopore Technologies	Genome Detective v. 2.37		
EPI_ISL_18240655	DENV2	III-Asian-American	2021-06-01	South America	Brazil	Tocantins	Araguaina	Human	Original	Serum		Oxford Nanopore Technologies	Genome Detective v. 2.37		
EPI_ISL_18358980	DENV2	II-Cosmopolitan	2015-11-03	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358981	DENV2	II-Cosmopolitan	2015-09-05	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358982	DENV2	II-Cosmopolitan	2015-10-04	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358983	DENV2	II-Cosmopolitan	2015-08-21	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358984	DENV2	II-Cosmopolitan	2015-09-05	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358985	DENV2	II-Cosmopolitan	2015-09-11	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358986	DENV2	II-Cosmopolitan	2015-09-13	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358987	DENV2	II-Cosmopolitan	2015-10-01	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358988	DENV2	II-Cosmopolitan	2015-10-01	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358989	DENV2	II-Cosmopolitan	2015-10-17	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358990	DENV2	II-Cosmopolitan	2015-08-28	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358991	DENV2	II-Cosmopolitan	2015-09-26	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358992	DENV2	II-Cosmopolitan	2015-08-30	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358993	DENV2	II-Cosmopolitan	2015-11-03	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358994	DENV2	II-Cosmopolitan	2015-09-25	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358995	DENV2	II-Cosmopolitan	2015-11-21	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358996	DENV2	II-Cosmopolitan	2015-09-04	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358997	DENV2	II-Cosmopolitan	2015-09-03	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358998	DENV2	II-Cosmopolitan	2015-10-05	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18358999	DENV2	II-Cosmopolitan	2015-09-27	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18359000	DENV2	II-Cosmopolitan	2015-09-02	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18359001	DENV2	II-Cosmopolitan	2015-10-05	Asia	Taiwan			Human	Original	Serum		Illumina	Vector NTI v. 8.0		
EPI_ISL_18360798	DENV2	III-Asian-American	2021-07-23	South America	Brazil	Mato Grosso do Sul	Corumba	Human	Original	Serum		Nanopore MinION	GenomeDetective v. 2.31		
EPI_ISL_18360822	DENV2	III-Asian-American	2021-06-15	South America	Brazil	Mato Grosso do Sul	Chapadao Do Sul	Human	Original	Serum		Nanopore MinION	GenomeDetective v. 2.31		
EPI_ISL_18360823	DENV2	III-Asian-American	2021-05-09	South America	Brazil	Mato Grosso do Sul	Caarapo	Human	Original	Serum		Nanopore MinION	GenomeDetective v. 2.31		
EPI_ISL_18360869	DENV2	III-Asian-American	2021-06-10	South America	Brazil	Mato Grosso do Sul	Chapadao Do Sul	Human	Original	Serum		Nanopore MinION	GenomeDetective v. 2.31		
EPI_ISL_18360929	DENV2	III-Asian-American	2021-06-10	South America	Brazil	Mato Grosso do Sul	Chapadao Do Sul	Human	Original	Serum		Nanopore MinION	GenomeDetective v. 2.31		
EPI_ISL_18363167	DENV2	II-Cosmopolitan	2023-05-01	South America	Colombia	Meta		Human	Original	Serum		Oxford Nanopore Technologies	Minimap2 v. 2.24		
EPI_ISL_18363168	DENV2	II-Cosmopolitan	2023-05-03	South America	Colombia	Meta		Human	Original	Serum		Oxford Nanopore Technologies	Minimap2 v. 2.24		
EPI_ISL_18377741	DENV2	II-Cosmopolitan	2023-05-21	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377747	DENV2	II-Cosmopolitan	2023-07-28	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq		Stretches of NNNs (9.52%% of overall sequence).	warn
EPI_ISL_18377748	DENV2	II-Cosmopolitan	2023-07-28	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377749	DENV2	II-Cosmopolitan	2023-07-29	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq		Stretches of NNNs (10.45%% of overall sequence).	warn
EPI_ISL_18377755	DENV2	II-Cosmopolitan	2023-05-23	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377756	DENV2	II-Cosmopolitan	2023-05-23	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq		Stretches of NNNs (8.44%% of overall sequence).	warn
EPI_ISL_18377757	DENV2	II-Cosmopolitan	2023-05-23	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq		Stretches of NNNs (7.07%% of overall sequence).	warn
EPI_ISL_18377768	DENV2	II-Cosmopolitan	2023-07-07	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377770	DENV2	II-Cosmopolitan	2023-07-13	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377771	DENV2	II-Cosmopolitan	2023-07-18	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377777	DENV2	II-Cosmopolitan	2023-05-03	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq		Stretches of NNNs (9.60%% of overall sequence).	warn
EPI_ISL_18377779	DENV2	II-Cosmopolitan	2023-05-15	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377781	DENV2	II-Cosmopolitan	2023-05-17	South America	Brazil	Amazonas		Human	Original	Serum		Illumina MiSeq			
EPI_ISL_18377797	DENV2	II-Cosmopolitan	2023-06-13	South America	Brazil	Rondonia		Human	Original	Serum		Illumina MiSeq		Stretches of NNNs (6.62%% of overall sequence).	warn
EPI_ISL_18380640	DENV2	III-Asian-American	2021-10-12	South America	Ecuador	Santo Domingo de los Tsachilas		Human	Original			Illumina MiSeq	ViralFlow	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_18403460	DENV2	II-Cosmopolitan	2023-07-03	North America	USA	Florida		Human	Original			Illumina	daytona_dengue.nf v. v0.2.0		
EPI_ISL_18403464	DENV2	II-Cosmopolitan	2023-07-05	North America	USA	Florida		Human	Original			Illumina	daytona_dengue.nf v. v0.2.0		
EPI_ISL_18403475	DENV2	III-Asian-American	2023-04-19	North America	USA	Florida		Human	Original			Illumina	daytona_dengue.nf v. v0.2.0	Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_18462816	DENV2	II-Cosmopolitan	2023-09-23	Asia	Indonesia	South Kalimantan	Banjar Baru	Human	Original			Illumina MiSeq			
EPI_ISL_18462817	DENV2	II-Cosmopolitan	2023-06-08	Asia	Indonesia	South Kalimantan	Banjar Baru	Human	Original			Illumina MiSeq			
EPI_ISL_18462819	DENV2	II-Cosmopolitan	2023-08-04	Asia	Indonesia	South Kalimantan	Banjar Baru	Human	Original			Illumina MiSeq		NS3_R588stop results in 5.0% truncation of the protein sequence. Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_18462820	DENV2	II-Cosmopolitan	2023-05-27	Asia	Indonesia	South Kalimantan	Banjar Baru	Human	Original			Illumina MiSeq			
EPI_ISL_18474688	DENV2	II-Cosmopolitan	2023-02-07	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474689	DENV2	II-Cosmopolitan	2022-11-30	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474691	DENV2	II-Cosmopolitan	2023-02-01	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474695	DENV2	II-Cosmopolitan	2022-11-30	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474696	DENV2	II-Cosmopolitan	2022-12-15	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474697	DENV2	II-Cosmopolitan	2022-11-25	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474698	DENV2	II-Cosmopolitan	2023-02-01	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474699	DENV2	II-Cosmopolitan	2023-02-10	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474700	DENV2	II-Cosmopolitan	2023-02-08	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474701	DENV2	II-Cosmopolitan	2022-11-30	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474703	DENV2	II-Cosmopolitan	2023-02-08	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474704	DENV2	II-Cosmopolitan	2022-11-30	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
EPI_ISL_18474705	DENV2	II-Cosmopolitan	2022-11-26	South America	Colombia			Human	Original	Serum		Illumina	BWA v. 0.7.17; Samtools v. 1.15		
